state,state_fips,zip_code,brnd_name,gnrc_name,totl_day_sply,totl_drg_cost
TX,48,"75001",Trintellix,"Vortioxetine Hydrobromide",462,6799.81
TN,47,"37110",Trintellix,"Vortioxetine Hydrobromide",690,9419.91
TX,48,"78216",Trintellix,"Vortioxetine Hydrobromide",360,5215.75
MN,27,"56258",Trintellix,"Vortioxetine Hydrobromide",630,8959.88
MN,27,"55422",Trintellix,"Vortioxetine Hydrobromide",358,5122.74
MA,25,"02132",Trintellix,"Vortioxetine Hydrobromide",330,4589.31
MO,29,"63111",Trintellix,"Vortioxetine Hydrobromide",372,5296.15
TX,48,"78028",Trintellix,"Vortioxetine Hydrobromide",930,12479.6
CT,09,"06082",Trintellix,"Vortioxetine Hydrobromide",450,6188.69
CA,06,"91316",Trintellix,"Vortioxetine Hydrobromide",500,8022.97
IL,17,"60035",Trintellix,"Vortioxetine Hydrobromide",754,10824.05
NY,36,"11236",Trintellix,"Vortioxetine Hydrobromide",960,13206.14
MA,25,"02169",Trintellix,"Vortioxetine Hydrobromide",820,11133.31
TX,48,"75230",Trintellix,"Vortioxetine Hydrobromide",600,8340.67
IN,18,"46131",Trintellix,"Vortioxetine Hydrobromide",1012,13696.54
MD,24,"20852",Trintellix,"Vortioxetine Hydrobromide",390,5863.68
NC,37,"27707",Trintellix,"Vortioxetine Hydrobromide",1902,26058.3
NY,36,"11235",Trintellix,"Vortioxetine Hydrobromide",360,4951.77
IL,17,"61602",Trintellix,"Vortioxetine Hydrobromide",880,12000.62
FL,12,"33176",Trintellix,"Vortioxetine Hydrobromide",3450,46906.44
MO,29,"64184",Trintellix,"Vortioxetine Hydrobromide",188,2716.49
MI,26,"48302",Trintellix,"Vortioxetine Hydrobromide",1351,18909.06
TX,48,"78104",Trintellix,"Vortioxetine Hydrobromide",1676,22830.74
OK,40,"04915",Trintellix,"Vortioxetine Hydrobromide",694,9989.29
MA,25,"01702",Trintellix,"Vortioxetine Hydrobromide",1110,14741.23
CA,06,"92659",Trintellix,"Vortioxetine Hydrobromide",1200,15842.37
CA,06,"92879",Trintellix,"Vortioxetine Hydrobromide",1020,14140.89
AR,05,"71901",Trintellix,"Vortioxetine Hydrobromide",1470,20965.92
CA,06,"92160",Trintellix,"Vortioxetine Hydrobromide",780,10622.33
KY,21,"41502",Trintellix,"Vortioxetine Hydrobromide",930,13596.9
MD,24,"20850",Trintellix,"Vortioxetine Hydrobromide",690,9715.78
MS,28,"39648",Trintellix,"Vortioxetine Hydrobromide",350,5111.75
