zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
78748,Zoloft,0,0,N/A,Sertraline Hcl,2715.0,815.93,0.3
91730,Zoloft,0,0,N/A,Sertraline Hcl,108348.0,24033.57,0.22
27157,Zoloft,0,0,N/A,Sertraline Hcl,110228.0,21152.45,0.19
92064,Zoloft,0,0,N/A,Sertraline Hcl,28452.0,8048.16,0.28
76501,Zoloft,0,0,N/A,Sertraline Hcl,3688.0,1029.07,0.28
91346,Zoloft,0,0,N/A,Sertraline Hcl,237100.0,50142.58,0.21
29621,Zoloft,0,0,N/A,Sertraline Hcl,217425.0,42947.88,0.2
98195,Zoloft,0,0,N/A,Sertraline Hcl,34480.0,8138.77,0.24
33771,Zoloft,0,0,N/A,Sertraline Hcl,44739.0,6078.98,0.14
39216,Zoloft,0,0,N/A,Sertraline Hcl,179022.0,29323.1,0.16
63501,Zoloft,360.0,8696.88,24.16,Sertraline Hcl,81494.0,15973.24,0.2
55110,Zoloft,0,0,N/A,Sertraline Hcl,14645.0,3206.01,0.22
45840,Zoloft,360.0,8938.68,24.83,Sertraline Hcl,230133.0,44223.63,0.19
16508,Zoloft,0,0,N/A,Sertraline Hcl,116440.0,30573.6,0.26
60612,Zoloft,0,0,N/A,Sertraline Hcl,236970.0,51817.01,0.22
30374,Zoloft,420.0,5212.43,12.41,Sertraline Hcl,2426223.0,478411.65,0.2
19178,Zoloft,0,0,N/A,Sertraline Hcl,985750.0,203276.92,0.21
21297,Zoloft,0,0,N/A,Sertraline Hcl,273265.0,54276.04,0.2
43452,Zoloft,0,0,N/A,Sertraline Hcl,31700.0,5479.01,0.17
32444,Zoloft,0,0,N/A,Sertraline Hcl,85311.0,14085.92,0.17
43026,Zoloft,0,0,N/A,Sertraline Hcl,199454.0,31123.96,0.16
63129,Zoloft,0,0,N/A,Sertraline Hcl,58567.0,11954.05,0.2
11743,Zoloft,626.0,11073.23,17.69,Sertraline Hcl,240252.0,53746.97,0.22
60620,Zoloft,0,0,N/A,Sertraline Hcl,4297.0,1174.91,0.27
60714,Zoloft,0,0,N/A,Sertraline Hcl,62889.0,10989.23,0.17
98405,Zoloft,0,0,N/A,Sertraline Hcl,268731.0,58750.14,0.22
42304,Zoloft,0,0,N/A,Sertraline Hcl,208800.0,39653.32,0.19
73703,Zoloft,0,0,N/A,Sertraline Hcl,11175.0,1971.49,0.18
27704,Zoloft,0,0,N/A,Sertraline Hcl,155226.0,40976.15,0.26
22801,Zoloft,0,0,N/A,Sertraline Hcl,124963.0,25641.38,0.21
33084,Zoloft,0,0,N/A,Sertraline Hcl,2824.0,386.41,0.14
65275,Zoloft,0,0,N/A,Sertraline Hcl,4739.0,647.67,0.14
02904,Zoloft,0,0,N/A,Sertraline Hcl,175150.0,45097.37,0.26
75503,Zoloft,0,0,N/A,Sertraline Hcl,215829.0,37720.24,0.17
31792,Zoloft,0,0,N/A,Sertraline Hcl,147493.0,29111.13,0.2
00907,Zoloft,0,0,N/A,Sertraline Hcl,99713.0,18799.81,0.19
37211,Zoloft,0,0,N/A,Sertraline Hcl,137441.0,27205.35,0.2
20902,Zoloft,0,0,N/A,Sertraline Hcl,26297.0,4559.84,0.17
11201,Zoloft,0,0,N/A,Sertraline Hcl,84932.0,17258.65,0.2
27410,Zoloft,0,0,N/A,Sertraline Hcl,114763.0,29072.69,0.25
33133,Zoloft,0,0,N/A,Sertraline Hcl,63406.0,10695.05,0.17
66160,Zoloft,0,0,N/A,Sertraline Hcl,170691.0,33286.84,0.2
92648,Zoloft,0,0,N/A,Sertraline Hcl,64091.0,13553.54,0.21
69361,Zoloft,0,0,N/A,Sertraline Hcl,56415.0,10470.91,0.19
10604,Zoloft,0,0,N/A,Sertraline Hcl,92256.0,18433.43,0.2
86001,Zoloft,0,0,N/A,Sertraline Hcl,124785.0,25330.98,0.2
00918,Zoloft,0,0,N/A,Sertraline Hcl,208253.0,38953.39,0.19
08822,Zoloft,0,0,N/A,Sertraline Hcl,103273.0,22557.66,0.22
75701,Zoloft,0,0,N/A,Sertraline Hcl,212282.0,39542.44,0.19
07630,Zoloft,0,0,N/A,Sertraline Hcl,31531.0,6743.26,0.21
32610,Zoloft,0,0,N/A,Sertraline Hcl,96600.0,16376.68,0.17
27707,Zoloft,0,0,N/A,Sertraline Hcl,121711.0,28142.17,0.23
35202,Zoloft,0,0,N/A,Sertraline Hcl,91753.0,14419.14,0.16
70506,Zoloft,0,0,N/A,Sertraline Hcl,173325.0,52772.5,0.3
75246,Zoloft,0,0,N/A,Sertraline Hcl,245227.0,50478.17,0.21
19129,Zoloft,0,0,N/A,Sertraline Hcl,57301.0,12516.95,0.22
07039,Zoloft,0,0,N/A,Sertraline Hcl,106806.0,22136.03,0.21
28601,Zoloft,0,0,N/A,Sertraline Hcl,178403.0,39258.99,0.22
11733,Zoloft,0,0,N/A,Sertraline Hcl,85268.0,16433.67,0.19
71913,Zoloft,0,0,N/A,Sertraline Hcl,152176.0,28549.65,0.19
11501,Zoloft,0,0,N/A,Sertraline Hcl,112390.0,19716.04,0.18
37922,Zoloft,0,0,N/A,Sertraline Hcl,85407.0,17354.66,0.2
85634,Zoloft,0,0,N/A,Sertraline Hcl,840.0,174.98,0.21
77024,Zoloft,0,0,N/A,Sertraline Hcl,492869.0,82170.65,0.17
79412,Zoloft,0,0,N/A,Sertraline Hcl,10790.0,2411.59,0.22
45806,Zoloft,0,0,N/A,Sertraline Hcl,1470.0,392.15,0.27
70503,Zoloft,0,0,N/A,Sertraline Hcl,112215.0,18201.9,0.16
33762,Zoloft,0,0,N/A,Sertraline Hcl,5555.0,1480.62,0.27
78216,Zoloft,0,0,N/A,Sertraline Hcl,93102.0,19536.3,0.21
73013,Zoloft,0,0,N/A,Sertraline Hcl,111653.0,22880.95,0.2
03431,Zoloft,0,0,N/A,Sertraline Hcl,187715.0,45197.35,0.24
99508,Zoloft,360.0,6638.76,18.44,Sertraline Hcl,102431.0,29858.12,0.29
98201,Zoloft,0,0,N/A,Sertraline Hcl,96813.0,25814.91,0.27
23320,Zoloft,0,0,N/A,Sertraline Hcl,106935.0,23192.7,0.22
50401,Zoloft,0,0,N/A,Sertraline Hcl,298249.0,51733.82,0.17
48037,Zoloft,0,0,N/A,Sertraline Hcl,870.0,207.75,0.24
60134,Zoloft,0,0,N/A,Sertraline Hcl,58228.0,11454.4,0.2
50266,Zoloft,0,0,N/A,Sertraline Hcl,321262.0,58177.92,0.18
33613,Zoloft,0,0,N/A,Sertraline Hcl,100209.0,17165.17,0.17
73142,Zoloft,0,0,N/A,Sertraline Hcl,36897.0,7043.34,0.19
44718,Zoloft,0,0,N/A,Sertraline Hcl,161295.0,50411.08,0.31
32891,Zoloft,0,0,N/A,Sertraline Hcl,268589.0,47372.71,0.18
29455,Zoloft,0,0,N/A,Sertraline Hcl,6625.0,1602.67,0.24
27713,Zoloft,0,0,N/A,Sertraline Hcl,360954.0,103094.09,0.29
77598,Zoloft,0,0,N/A,Sertraline Hcl,142225.0,25246.29,0.18
