zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
00907,Aricept,0,0,N/A,Donepezil Hcl,35925,13475.18,0.38,0.0,18.451131,-66.07798
37211,Aricept,0,0,N/A,Donepezil Hcl,54796,16219.94,0.3,0.0,36.079259,-86.72584
20902,Aricept,0,0,N/A,Donepezil Hcl,16364,7264.47,0.44,0.0,39.040759,-77.04876
11201,Aricept,0,0,N/A,Donepezil Hcl,81905,23088.27,0.28,0.0,40.695286,-73.98907
27410,Aricept,0,0,N/A,Donepezil Hcl,11565,3779.0,0.33,0.0,36.116854,-79.88291
33133,Aricept,0,0,N/A,Donepezil Hcl,45449,8076.12,0.18,0.0,25.730678,-80.2441
66160,Aricept,0,0,N/A,Donepezil Hcl,135016,36354.28,0.27,0.0,39.096551,-94.749538
92648,Aricept,0,0,N/A,Donepezil Hcl,26202,8102.51,0.31,0.0,33.673468,-118.00243
69361,Aricept,0,0,N/A,Donepezil Hcl,36763,10012.31,0.27,0.0,41.885553,-103.65241
10604,Aricept,0,0,N/A,Donepezil Hcl,113983,31989.95,0.28,0.0,41.045387,-73.74451
86001,Aricept,0,0,N/A,Donepezil Hcl,43474,17533.52,0.4,0.0,35.279872,-111.72256
00918,Aricept,0,0,N/A,Donepezil Hcl,168704,40290.5,0.24,0.0,18.417668,-66.06494
08822,Aricept,0,0,N/A,Donepezil Hcl,13662,6785.79,0.5,0.0,40.515645,-74.85319
75701,Aricept,0,0,N/A,Donepezil Hcl,165518,49748.45,0.3,0.0,32.325214,-95.29467
07630,Aricept,0,0,N/A,Donepezil Hcl,3966,2953.76,0.74,0.0,40.97514,-74.02725
32610,Aricept,0,0,N/A,Donepezil Hcl,63424,14360.24,0.23,0.0,29.681312,-82.353862
27707,Aricept,0,0,N/A,Donepezil Hcl,27073,8794.86,0.32,0.0,35.963994,-78.93602
35202,Aricept,0,0,N/A,Donepezil Hcl,102146,34993.64,0.34,0.0,33.544622,-86.929208
70506,Aricept,0,0,N/A,Donepezil Hcl,107135,53536.75,0.5,0.0,30.211901,-92.05912
75246,Aricept,0,0,N/A,Donepezil Hcl,125110,55272.65,0.44,0.0,32.791878,-96.77365
19129,Aricept,0,0,N/A,Donepezil Hcl,55781,21457.63,0.38,0.0,40.011562,-75.1839
07039,Aricept,0,0,N/A,Donepezil Hcl,90212,28422.01,0.32,0.0,40.788733,-74.32134
28601,Aricept,0,0,N/A,Donepezil Hcl,83484,34334.87,0.41,0.0,35.759932,-81.33012
11733,Aricept,0,0,N/A,Donepezil Hcl,20410,7037.77,0.34,0.0,40.932053,-73.10666
71913,Aricept,0,0,N/A,Donepezil Hcl,75442,22626.69,0.3,0.0,34.47056,-93.08805
11501,Aricept,0,0,N/A,Donepezil Hcl,64043,20343.81,0.32,0.0,40.747188,-73.63808
37922,Aricept,0,0,N/A,Donepezil Hcl,160274,34974.08,0.22,0.0,35.875925,-84.12608
77024,Aricept,0,0,N/A,Donepezil Hcl,212582,64553.32,0.3,0.0,29.773994,-95.51771
79412,Aricept,0,0,N/A,Donepezil Hcl,10601,11539.74,1.09,0.0,33.549135,-101.85846
45806,Aricept,0,0,N/A,Donepezil Hcl,600,95.64,0.16,0.0,40.668448,-84.1331
70503,Aricept,0,0,N/A,Donepezil Hcl,92378,19722.58,0.21,0.0,30.185867000000002,-92.04706
33762,Aricept,0,0,N/A,Donepezil Hcl,4886,2075.95,0.42,0.0,27.883118,-82.68389
78216,Aricept,0,0,N/A,Donepezil Hcl,46919,23357.91,0.5,0.0,29.528515,-98.49219
73013,Aricept,0,0,N/A,Donepezil Hcl,20527,6362.66,0.31,0.0,35.623805,-97.47909
03431,Aricept,0,0,N/A,Donepezil Hcl,44791,14966.38,0.33,0.0,42.946418,-72.28616
99508,Aricept,0,0,N/A,Donepezil Hcl,36176,16475.96,0.46,0.0,61.203953,-149.8144
98201,Aricept,0,0,N/A,Donepezil Hcl,35399,11584.33,0.33,0.0,47.986274,-122.20222
23320,Aricept,0,0,N/A,Donepezil Hcl,63400,14318.7,0.23,0.0,36.761698,-76.24511
50401,Aricept,0,0,N/A,Donepezil Hcl,93005,29842.3,0.32,0.0,43.153969,-93.20037
60134,Aricept,0,0,N/A,Donepezil Hcl,22290,6897.9,0.31,0.0,41.885728,-88.31957
50266,Aricept,0,0,N/A,Donepezil Hcl,91768,34965.74,0.38,0.0,41.581181,-93.78287
93704,Aricept,0,0,N/A,Donepezil Hcl,900,259.59,0.29,0.0,36.794748,-119.80097
33613,Aricept,0,0,N/A,Donepezil Hcl,69770,16025.38,0.23,0.0,28.077994,-82.44989
73142,Aricept,0,0,N/A,Donepezil Hcl,9375,2127.15,0.23,0.0,35.605785,-97.63042
44718,Aricept,0,0,N/A,Donepezil Hcl,147424,85351.98,0.58,0.0,40.850683,-81.43773
32891,Aricept,0,0,N/A,Donepezil Hcl,150696,44225.94,0.29,0.0,28.566338000000002,-81.260818
29455,Aricept,0,0,N/A,Donepezil Hcl,4050,583.29,0.14,0.0,32.717109,-80.08507
27713,Aricept,0,0,N/A,Donepezil Hcl,132807,76774.24,0.58,0.0,35.905765,-78.92113
77598,Aricept,0,0,N/A,Donepezil Hcl,59433,16900.47,0.28,0.0,29.539581,-95.13467
58122,Aricept,0,0,N/A,Donepezil Hcl,33796,10375.24,0.31,0.0,46.934596,-97.229718
