zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
33133,Lipitor,0,0,N/A,Atorvastatin Calcium,406036.0,72261.83,0.18,0.0,25.730678,-80.2441
66160,Lipitor,0,0,N/A,Atorvastatin Calcium,1603563.0,292605.71,0.18,0.0,39.096551,-94.749538
92648,Lipitor,0,0,N/A,Atorvastatin Calcium,780916.0,148794.8,0.19,0.0,33.673468,-118.00243
69361,Lipitor,975.0,13143.01,13.48,Atorvastatin Calcium,353379.0,65222.27,0.18,0.002751,41.885553,-103.65241
10604,Lipitor,1170.0,18724.49,16.0,Atorvastatin Calcium,1266703.0,255919.18,0.2,0.000923,41.045387,-73.74451
86001,Lipitor,0,0,N/A,Atorvastatin Calcium,954395.0,209677.1,0.22,0.0,35.279872,-111.72256
00918,Lipitor,330.0,5265.99,15.96,Atorvastatin Calcium,369617.0,79599.66,0.22,0.000892,18.417668,-66.06494
08822,Lipitor,2634.0,35118.38,13.33,Atorvastatin Calcium,962625.0,200591.2,0.21,0.002729,40.515645,-74.85319
95818,Lipitor,0,0,N/A,Atorvastatin Calcium,4518.0,551.99,0.12,0.0,38.556576,-121.49285
75701,Lipitor,0,0,N/A,Atorvastatin Calcium,1277613.0,228559.51,0.18,0.0,32.325214,-95.29467
07630,Lipitor,0,0,N/A,Atorvastatin Calcium,376547.0,69318.84,0.18,0.0,40.97514,-74.02725
32610,Lipitor,0,0,N/A,Atorvastatin Calcium,754208.0,144348.35,0.19,0.0,29.681312,-82.353862
27707,Lipitor,0,0,N/A,Atorvastatin Calcium,288235.0,53576.13,0.19,0.0,35.963994,-78.93602
35202,Lipitor,0,0,N/A,Atorvastatin Calcium,757218.0,145912.4,0.19,0.0,33.544622,-86.929208
70506,Lipitor,0,0,N/A,Atorvastatin Calcium,541250.0,140871.22,0.26,0.0,30.211901,-92.05912
75246,Lipitor,0,0,N/A,Atorvastatin Calcium,1463123.0,290902.29,0.2,0.0,32.791878,-96.77365
19129,Lipitor,0,0,N/A,Atorvastatin Calcium,857378.0,189780.81,0.22,0.0,40.011562,-75.1839
07039,Lipitor,5040.0,55515.46,11.01,Atorvastatin Calcium,994067.0,189526.17,0.19,0.005045,40.788733,-74.32134
28601,Lipitor,0,0,N/A,Atorvastatin Calcium,727484.0,142892.56,0.2,0.0,35.759932,-81.33012
11733,Lipitor,0,0,N/A,Atorvastatin Calcium,1089298.0,208360.27,0.19,0.0,40.932053,-73.10666
71913,Lipitor,360.0,4161.48,11.56,Atorvastatin Calcium,504272.0,97777.95,0.19,0.000713,34.47056,-93.08805
11501,Lipitor,0,0,N/A,Atorvastatin Calcium,1117190.0,215627.13,0.19,0.0,40.747188,-73.63808
37922,Lipitor,0,0,N/A,Atorvastatin Calcium,233753.0,44433.25,0.19,0.0,35.875925,-84.12608
85634,Lipitor,0,0,N/A,Atorvastatin Calcium,4890.0,1404.52,0.29,0.0,31.998543,-111.93712
77024,Lipitor,0,0,N/A,Atorvastatin Calcium,3849102.0,658063.53,0.17,0.0,29.773994,-95.51771
79412,Lipitor,0,0,N/A,Atorvastatin Calcium,38644.0,8782.75,0.23,0.0,33.549135,-101.85846
45806,Lipitor,0,0,N/A,Atorvastatin Calcium,11588.0,3028.2,0.26,0.0,40.668448,-84.1331
70503,Lipitor,0,0,N/A,Atorvastatin Calcium,544685.0,95517.06,0.18,0.0,30.185867000000002,-92.04706
33762,Lipitor,0,0,N/A,Atorvastatin Calcium,19396.0,8863.81,0.46,0.0,27.883118,-82.68389
78216,Lipitor,0,0,N/A,Atorvastatin Calcium,563595.0,102788.67,0.18,0.0,29.528515,-98.49219
73013,Lipitor,0,0,N/A,Atorvastatin Calcium,462486.0,91407.94,0.2,0.0,35.623805,-97.47909
03431,Lipitor,0,0,N/A,Atorvastatin Calcium,866545.0,205949.34,0.24,0.0,42.946418,-72.28616
99508,Lipitor,2340.0,29906.5,12.78,Atorvastatin Calcium,736635.0,238367.73,0.32,0.003167,61.203953,-149.8144
98201,Lipitor,0,0,N/A,Atorvastatin Calcium,435769.0,94157.58,0.22,0.0,47.986274,-122.20222
23320,Lipitor,0,0,N/A,Atorvastatin Calcium,600270.0,124305.78,0.21,0.0,36.761698,-76.24511
50401,Lipitor,0,0,N/A,Atorvastatin Calcium,1436988.0,273681.79,0.19,0.0,43.153969,-93.20037
48037,Lipitor,0,0,N/A,Atorvastatin Calcium,1410.0,293.95,0.21,0.0,42.567543,-83.149978
60134,Lipitor,0,0,N/A,Atorvastatin Calcium,838672.0,173750.94,0.21,0.0,41.885728,-88.31957
50266,Lipitor,0,0,N/A,Atorvastatin Calcium,2016642.0,351913.11,0.17,0.0,41.581181,-93.78287
